name,transfer_date,old_team,new_team,season
aaron_lennon,2018-01-23,Everton,Burnley,2017-18
adlène_guédioura,2017-01-31,Watford,Middlesbrough,2016-17
alex_oxlade-chamberlain,2017-08-31,Arsenal,Liverpool,2017-18
alexis_sánchez,2018-01-22,Arsenal,Manchester United,2017-18
andré_ayew,2018-01-31,West Ham United,Swansea City,2017-18
andy_king,2018-01-31,Leicester City,Swansea City,2017-18
brendan_galloway,2017-04-10,West Bromwich Albion,Everton,2016-17
bryan_oviedo,2017-01-30,Everton,Sunderland,2016-17
daniel_sturridge,2018-01-29,Liverpool,West Bromwich Albion,2017-18
darron_gibson,2017-01-30,Everton,Sunderland,2016-17
dominic_solanke,2019-01-04,Liverpool,Bournemouth,2018-19
eliaquim_mangala,2018-01-31,Manchester City,Everton,2017-18
georges-kévin_nkoudou,2018-01-09,Tottenham Hotspur,Burnley,2017-18
henrikh_mkhitaryan,2018-01-22,Manchester United,Arsenal,2017-18
islam_slimani,2018-01-31,Leicester City,Newcastle United,2017-18
jake_livermore,2017-01-20,Hull City,West Bromwich Albion,2016-17
jason_denayer,2016-08-31,Manchester City,Sunderland,2016-17
jason_puncheon,2019-01-04,Crystal Palace,Huddersfield Town,2018-19
jeffrey_schlupp,2017-01-13,Leicester City,Crystal Palace,2016-17
jose_fonte,2017-01-20,Southampton,West Ham United,2016-17
kasey_palmer,2018-01-02,Huddersfield Town,Chelsea,2017-18
lazar_markovic,2017-01-23,Liverpool,Hull City,2016-17
leonardo_ulloa,2018-01-29,Leicester City,Brighton & Hove Albion,2017-18
mamadou_sakho,2017-08-31,Liverpool,Crystal Palace,2017-18
marc_wilson,2017-01-31,Bournemouth,West Bromwich Albion,2016-17
morgan_schneiderlin,2017-01-12,Manchester United,Everton,2016-17
nathan_aké,2017-01-08,Bournemouth,Chelsea,2016-17
nathaniel_clyne,2019-01-04,Liverpool,Bournemouth,2018-19
olivier_giroud,2018-01-31,Arsenal,Chelsea,2017-18
oumar_niasse,2017-01-13,Everton,Hull City,2016-17
patrick_bamford,2017-01-18,Burnley,Middlesbrough,2016-17
patrick_van aanholt,2017-01-30,Sunderland,Crystal Palace,2016-17
robert kenedy_nunes do nascimento,2018-01-23,Chelsea,Newcastle United,2017-18
robert_snodgrass,2017-01-27,Hull City,West Ham United,2016-17
ross_barkley,2018-01-05,Everton,Chelsea,2017-18
saido_berahino,2017-01-20,West Bromwich Albion,Stoke City,2016-17
theo_walcott,2018-01-17,Arsenal,Everton,2017-18
tom_carroll,2017-01-17,Tottenham Hotspur,Swansea City,2016-17
tom_cleverley,2017-01-12,Everton,Watford,2016-17
virgil_van dijk,2018-01-01,Southampton,Liverpool,2017-18
wilfried_bony,2016-08-31,Manchester City,Stoke City,2016-17
mamadou_sakho,2017-01-31,Liverpool,Crystal Palace,2016-17
oumar_niasse,2019-01-18,Everton,Cardiff City,2018-19
